% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.18    0.000388           1       328        67 stat
 15.78    0.000289          14        20           getdents64
  9.99    0.000183           1       170           read
  9.12    0.000167           1       120        22 openat
  8.73    0.000160           2        68           rt_sigaction
  8.35    0.000153           1       153           fstat
  6.77    0.000124           1       117         3 lseek
  6.50    0.000119           1       101           close
  4.59    0.000084           0       125           mmap
  4.53    0.000083           1        77        71 ioctl
  1.26    0.000023           1        15           brk
  0.87    0.000016           0        30           mprotect
  0.76    0.000014           0        17           munmap
  0.49    0.000009           3         3           dup
  0.27    0.000005           5         1           getuid
  0.22    0.000004           4         1           geteuid
  0.22    0.000004           4         1           getegid
  0.16    0.000003           3         1           sysinfo
  0.16    0.000003           1         3           sigaltstack
  0.05    0.000001           1         1           getgid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         7           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1         1 execveat
------ ----------- ----------- --------- --------- ----------------
100.00    0.001832                  1386       168 total
