% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 24.35    0.000468           1       328        67 stat
 13.63    0.000262           1       168           read
 11.97    0.000230          11        20           getdents64
 10.20    0.000196           1       120        22 openat
  9.31    0.000179           1       122           mmap
  7.08    0.000136           0       151           fstat
  5.78    0.000111           1       101           close
  5.31    0.000102           7        14           munmap
  4.27    0.000082           0       117         3 lseek
  3.02    0.000058           0        77        71 ioctl
  1.61    0.000031           1        30           mprotect
  1.14    0.000022           1        15           brk
  0.52    0.000010          10         1           mremap
  0.47    0.000009           1         7           futex
  0.36    0.000007           1         4         2 readlink
  0.31    0.000006           2         3           sigaltstack
  0.21    0.000004           4         1           sysinfo
  0.16    0.000003           1         3           fcntl
  0.10    0.000002           0        68           rt_sigaction
  0.05    0.000001           1         1           getuid
  0.05    0.000001           1         1           getgid
  0.05    0.000001           1         1           geteuid
  0.05    0.000001           1         1           getegid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001922                  1375       167 total
