% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.78    0.000418           1       328        67 stat
 14.58    0.000308           1       170           read
 12.35    0.000261           2       123           mmap
  9.47    0.000200           1       120        22 openat
  7.00    0.000148           0       153           fstat
  5.82    0.000123           6        20           getdents64
  5.40    0.000114           1       101           close
  5.35    0.000113           1        68           rt_sigaction
  4.73    0.000100           0       117         3 lseek
  4.16    0.000088           5        15           munmap
  3.03    0.000064           2        30           mprotect
  2.98    0.000063           0        77        71 ioctl
  1.18    0.000025           1        15           brk
  0.90    0.000019           2         7           futex
  0.71    0.000015           1         8           pread64
  0.33    0.000007           1         4         2 readlink
  0.28    0.000006           2         3           dup
  0.24    0.000005           5         1           mremap
  0.19    0.000004           4         1           socket
  0.19    0.000004           4         1           sendto
  0.19    0.000004           4         1           sysinfo
  0.14    0.000003           3         1           rt_sigprocmask
  0.14    0.000003           3         1           connect
  0.14    0.000003           1         3           fcntl
  0.14    0.000003           1         3           sigaltstack
  0.14    0.000003           1         2         1 arch_prctl
  0.14    0.000003           3         1           prlimit64
  0.09    0.000002           2         1           set_tid_address
  0.09    0.000002           2         1           set_robust_list
  0.05    0.000001           1         1           lstat
  0.05    0.000001           1         1           getcwd
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    0.002113                  1384       167 total
