% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.62    0.000549           1       328        67 stat
 14.19    0.000304           1       168           read
 14.09    0.000302           2       124           mmap
 10.27    0.000220           1       120        22 openat
  6.25    0.000134           0       151           fstat
  5.23    0.000112           1       101           close
  4.90    0.000105           5        20           getdents64
  4.43    0.000095           3        30           mprotect
  4.34    0.000093           5        16           munmap
  4.06    0.000087           0       117         3 lseek
  2.24    0.000048           0        77        71 ioctl
  1.31    0.000028           1        15           brk
  0.79    0.000017           2         7           futex
  0.42    0.000009           2         4         2 readlink
  0.33    0.000007           0        68           rt_sigaction
  0.33    0.000007           2         3           fcntl
  0.19    0.000004           4         1           sysinfo
  0.14    0.000003           3         1           rt_sigprocmask
  0.14    0.000003           1         3           sigaltstack
  0.14    0.000003           1         2         1 arch_prctl
  0.14    0.000003           3         1           set_tid_address
  0.14    0.000003           3         1           set_robust_list
  0.14    0.000003           3         1           prlimit64
  0.09    0.000002           2         1           lstat
  0.09    0.000002           2         1           getcwd
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    0.002143                  1379       167 total
