% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 22.86    0.000542           1       328        67 stat
 14.34    0.000340          17        20           getdents64
 13.50    0.000320           1       168           read
  8.60    0.000204           1       120        22 openat
  7.04    0.000167           1       151           fstat
  6.37    0.000151           1       101           close
  5.61    0.000133           1       117         3 lseek
  5.10    0.000121           1       121           mmap
  4.68    0.000111           1        68           rt_sigaction
  4.56    0.000108           1        78        72 ioctl
  4.01    0.000095           7        13           munmap
  1.01    0.000024           1        15           brk
  0.76    0.000018           0        30           mprotect
  0.67    0.000016           2         7           futex
  0.30    0.000007           2         3           dup
  0.17    0.000004           1         3           sigaltstack
  0.13    0.000003           3         1           mremap
  0.08    0.000002           2         1           getuid
  0.08    0.000002           2         1           getgid
  0.08    0.000002           2         1           getegid
  0.04    0.000001           1         1           geteuid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.002371                  1374       168 total
