% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.51    0.000278           0       328        67 stat
 16.84    0.000240           1       168           read
 11.02    0.000157           1       122           mmap
 10.32    0.000147           1       120        22 openat
  8.91    0.000127           6        20           getdents64
  7.51    0.000107           0       151           fstat
  6.39    0.000091           0       101           close
  5.05    0.000072           0       117         3 lseek
  3.58    0.000051           3        14           munmap
  2.95    0.000042           0        77        71 ioctl
  2.74    0.000039           1        30           mprotect
  1.54    0.000022           1        15           brk
  0.70    0.000010           1         8           pread64
  0.49    0.000007           7         1           mremap
  0.42    0.000006           1         4         2 readlink
  0.35    0.000005           5         1           set_tid_address
  0.28    0.000004           0         7           futex
  0.21    0.000003           0        68           rt_sigaction
  0.21    0.000003           1         3           fcntl
  0.21    0.000003           3         1           sysinfo
  0.14    0.000002           2         1           rt_sigprocmask
  0.14    0.000002           0         3           sigaltstack
  0.14    0.000002           1         2         1 arch_prctl
  0.14    0.000002           2         1           prlimit64
  0.07    0.000001           1         1           lstat
  0.07    0.000001           1         1           getcwd
  0.07    0.000001           1         1           set_robust_list
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    0.001425                  1375       167 total
