% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.66    0.000392           1       328        67 stat
 12.54    0.000250           1       169           read
 10.18    0.000203          10        20           getdents64
  8.27    0.000165           2        68           rt_sigaction
  8.17    0.000163           1       120        22 openat
  7.92    0.000158           1       125           mmap
  6.67    0.000133           0       152           fstat
  6.02    0.000120           1       101           close
  5.77    0.000115           6        17           munmap
  4.51    0.000090           0       117         3 lseek
  3.61    0.000072           0        77        71 ioctl
  1.81    0.000036           1        30           mprotect
  1.25    0.000025           1        15           brk
  0.85    0.000017           2         7           futex
  0.60    0.000012          12         1           mremap
  0.50    0.000010           3         3           sigaltstack
  0.40    0.000008           2         4         2 readlink
  0.30    0.000006           2         3           dup
  0.15    0.000003           3         1           rt_sigprocmask
  0.15    0.000003           1         3           fcntl
  0.15    0.000003           3         1           sysinfo
  0.15    0.000003           3         1           set_tid_address
  0.15    0.000003           3         1           prlimit64
  0.10    0.000002           2         1         1 listen
  0.10    0.000002           2         1           set_robust_list
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         2         1 arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.001994                  1384       168 total
