% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 24.59    0.000464           1       328        67 stat
 13.67    0.000258           1       168           read
 11.76    0.000222           1       122           mmap
 11.29    0.000213          10        20           getdents64
  9.49    0.000179           1       120        22 openat
  6.47    0.000122           0       151           fstat
  5.78    0.000109           1       101           close
  4.40    0.000083           0       117         3 lseek
  3.71    0.000070           2        30           mprotect
  3.13    0.000059           0        78        72 ioctl
  2.01    0.000038           2        15           brk
  1.11    0.000021           3         7           futex
  0.42    0.000008           0        14           munmap
  0.37    0.000007           1         4         2 readlink
  0.32    0.000006           0        68           rt_sigaction
  0.26    0.000005           5         1           sysinfo
  0.26    0.000005           1         3           sigaltstack
  0.16    0.000003           3         1           rt_sigprocmask
  0.16    0.000003           1         3           fcntl
  0.16    0.000003           1         2         1 arch_prctl
  0.16    0.000003           3         1           set_tid_address
  0.16    0.000003           3         1           set_robust_list
  0.16    0.000003           3         1           prlimit64
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    0.001887                  1376       168 total
