% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 17.15    0.000143           1       121           mmap
 14.27    0.000119           0       120        22 openat
 13.43    0.000112           0       328        67 stat
  9.35    0.000078          78         1           execve
  8.27    0.000069           3        20           getdents64
  5.76    0.000048           0       170           read
  5.52    0.000046           0       153           fstat
  5.04    0.000042           0       101           close
  5.04    0.000042           1        30           mprotect
  2.64    0.000022           1        15           brk
  2.52    0.000021           0       117         3 lseek
  2.40    0.000020           2         8           pread64
  2.04    0.000017           4         4         2 readlink
  1.80    0.000015           0        77        71 ioctl
  0.96    0.000008           0        13           munmap
  0.60    0.000005           2         2         1 arch_prctl
  0.48    0.000004           0        68           rt_sigaction
  0.48    0.000004           4         1           sysinfo
  0.36    0.000003           3         1         1 access
  0.36    0.000003           3         1           set_tid_address
  0.24    0.000002           2         1           rt_sigprocmask
  0.24    0.000002           0         3           fcntl
  0.24    0.000002           0         7           futex
  0.24    0.000002           2         1           set_robust_list
  0.24    0.000002           2         1           prlimit64
  0.12    0.000001           1         1           getuid
  0.12    0.000001           1         1           getgid
  0.12    0.000001           1         1           getegid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         1         1 execveat
------ ----------- ----------- --------- --------- ----------------
100.00    0.000834                  1378       168 total
