% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 24.74    0.000494           1       328        67 stat
 13.57    0.000271           1       169           read
  9.86    0.000197           1       122           mmap
  9.51    0.000190           1       124        26 openat
  9.26    0.000185           2        68           rt_sigaction
  8.26    0.000165           1       152           fstat
  6.11    0.000122           1       101           close
  5.66    0.000113           0       117         3 lseek
  4.41    0.000088           1        77        71 ioctl
  4.01    0.000080           4        20           getdents64
  2.45    0.000049           1        30           mprotect
  0.70    0.000014           0        15           brk
  0.50    0.000010           0        14           munmap
  0.50    0.000010           1         7           futex
  0.25    0.000005           1         3           dup
  0.05    0.000001           1         1           getuid
  0.05    0.000001           1         1           getgid
  0.05    0.000001           1         1           geteuid
  0.05    0.000001           1         1           getegid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001997                  1381       171 total
