% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 23.16    0.000365           1       328        67 stat
 17.01    0.000268          13        20           getdents64
 12.94    0.000204           1       168           read
  8.63    0.000136           1       120        22 openat
  7.23    0.000114           0       151           fstat
  6.60    0.000104           6        15           munmap
  6.22    0.000098           0       101           close
  5.39    0.000085           0       117         3 lseek
  4.95    0.000078           0       123           mmap
  3.87    0.000061           0        77        71 ioctl
  1.65    0.000026           1        15           brk
  0.89    0.000014           0        30           mprotect
  0.38    0.000006           6         1           mremap
  0.25    0.000004           4         1           getuid
  0.25    0.000004           4         1           geteuid
  0.13    0.000002           0        68           rt_sigaction
  0.13    0.000002           2         1           getgid
  0.13    0.000002           2         1           getegid
  0.13    0.000002           0         7           futex
  0.06    0.000001           0         3           sigaltstack
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001576                  1377       167 total
