% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 18.16    0.000205          10        20           getdents64
 17.01    0.000192           0       328        67 stat
 10.01    0.000113           1        68           rt_sigaction
  8.77    0.000099           0       120        22 openat
  8.59    0.000097           0       168           read
  7.62    0.000086           0       151           fstat
  6.20    0.000070           0       101           close
  5.40    0.000061           0       121           mmap
  5.14    0.000058           0       117         3 lseek
  3.90    0.000044           0        77        71 ioctl
  3.19    0.000036           1        30           mprotect
  1.24    0.000014           0        15           brk
  0.89    0.000010           0        13           munmap
  0.62    0.000007           1         4         2 readlink
  0.53    0.000006           2         3           dup
  0.44    0.000005           2         2         1 arch_prctl
  0.44    0.000005           5         1           set_tid_address
  0.27    0.000003           3         1           set_robust_list
  0.18    0.000002           2         1           rt_sigprocmask
  0.18    0.000002           0         3           fcntl
  0.18    0.000002           2         1           sysinfo
  0.18    0.000002           2         1           getuid
  0.18    0.000002           2         1           getegid
  0.18    0.000002           0         3           sigaltstack
  0.18    0.000002           0         7           futex
  0.18    0.000002           2         1           prlimit64
  0.09    0.000001           1         1           getgid
  0.09    0.000001           1         1           geteuid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
------ ----------- ----------- --------- --------- ----------------
100.00    0.001129                  1373       167 total
