% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.22    0.000780           2       328        67 stat
 14.52    0.000416           2       168           read
 11.86    0.000340           2       122           mmap
  9.32    0.000267           2       120        22 openat
  8.06    0.000231          11        20           getdents64
  6.35    0.000182           1       151           fstat
  5.44    0.000156           1       101           close
  4.68    0.000134           1       117         3 lseek
  3.87    0.000111           7        14           munmap
  3.24    0.000093           1        77        71 ioctl
  2.97    0.000085           2        30           mprotect
  1.01    0.000029           1        15           brk
  0.45    0.000013           1         7           futex
  0.24    0.000007           7         1           mremap
  0.21    0.000006           2         3           fcntl
  0.14    0.000004           4         1           lstat
  0.14    0.000004           4         1           getcwd
  0.14    0.000004           1         3           sigaltstack
  0.10    0.000003           0         4         2 readlink
  0.03    0.000001           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.002866                  1375       167 total
