% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 15.68    0.000213           0       328        67 stat
 13.18    0.000179           1       121           mmap
 12.00    0.000163           2        68           rt_sigaction
  9.94    0.000135           1       120        22 openat
  9.20    0.000125           0       168           read
  8.84    0.000120           6        20           getdents64
  7.14    0.000097           0       151           fstat
  6.33    0.000086           0       101           close
  4.27    0.000058           0       117         3 lseek
  3.90    0.000053           1        30           mprotect
  3.39    0.000046           0        78        72 ioctl
  1.62    0.000022           1        15           brk
  0.74    0.000010           0        13           munmap
  0.66    0.000009           3         3           dup
  0.66    0.000009           2         4         2 readlink
  0.44    0.000006           0         7           futex
  0.37    0.000005           5         1           set_tid_address
  0.29    0.000004           0         8           pread64
  0.29    0.000004           4         1           sysinfo
  0.22    0.000003           1         3           sigaltstack
  0.22    0.000003           3         1           prlimit64
  0.15    0.000002           2         1           rt_sigprocmask
  0.15    0.000002           0         3           fcntl
  0.15    0.000002           1         2         1 arch_prctl
  0.15    0.000002           2         1           set_robust_list
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    0.001358                  1374       168 total
