% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 14.07    0.000201           0       328        67 stat
 12.67    0.000181           1       122           mmap
 11.06    0.000158           1       120        22 openat
 10.22    0.000146           0       170           read
  9.10    0.000130           6        20           getdents64
  7.28    0.000104         104         1           execve
  7.21    0.000103           7        14           munmap
  6.16    0.000088           0       153           fstat
  5.18    0.000074           0       101           close
  3.15    0.000045           1        30           mprotect
  2.94    0.000042           0       117         3 lseek
  2.17    0.000031           2        15           brk
  1.75    0.000025           0        77        71 ioctl
  1.12    0.000016           2         8           pread64
  1.05    0.000015           3         4         2 readlink
  0.63    0.000009           1         7           futex
  0.56    0.000008           0        68           rt_sigaction
  0.56    0.000008           2         3           sigaltstack
  0.56    0.000008           4         2         1 arch_prctl
  0.49    0.000007           7         1           mremap
  0.28    0.000004           4         1         1 access
  0.28    0.000004           4         1         1 execveat
  0.21    0.000003           1         3           fcntl
  0.21    0.000003           3         1           sysinfo
  0.21    0.000003           3         1           set_tid_address
  0.21    0.000003           3         1           set_robust_list
  0.14    0.000002           2         1           rt_sigprocmask
  0.14    0.000002           2         1           getgid
  0.14    0.000002           2         1           geteuid
  0.14    0.000002           2         1           prlimit64
  0.07    0.000001           1         1           getuid
  0.07    0.000001           1         1           getegid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           getcwd
------ ----------- ----------- --------- --------- ----------------
100.00    0.001429                  1380       168 total
