% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 23.13    0.000464           1       328        67 stat
 18.34    0.000368          18        20           getdents64
  9.67    0.000194           1       120        22 openat
  9.32    0.000187           1       168           read
  6.58    0.000132           0       151           fstat
  6.23    0.000125           1       101           close
  5.53    0.000111           0       117         3 lseek
  5.43    0.000109           1        68           rt_sigaction
  4.64    0.000093           1        77        71 ioctl
  3.89    0.000078           0       125           mmap
  2.29    0.000046           1        30           mprotect
  1.94    0.000039           2        15           brk
  0.70    0.000014           0        17           munmap
  0.40    0.000008           2         4         2 readlink
  0.30    0.000006           2         3           fcntl
  0.25    0.000005           1         3           dup
  0.15    0.000003           3         1           sysinfo
  0.10    0.000002           2         1           lstat
  0.10    0.000002           2         1           rt_sigprocmask
  0.10    0.000002           2         1           getcwd
  0.10    0.000002           2         1           getuid
  0.10    0.000002           2         1           geteuid
  0.10    0.000002           2         1           getegid
  0.10    0.000002           0         3           sigaltstack
  0.10    0.000002           1         2         1 arch_prctl
  0.10    0.000002           0         7           futex
  0.10    0.000002           2         1           set_tid_address
  0.10    0.000002           2         1           set_robust_list
  0.05    0.000001           1         1           getgid
  0.05    0.000001           1         1           prlimit64
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.002006                  1381       167 total
