% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.55    0.000251          12        20           getdents64
 18.11    0.000211           0       328        67 stat
 15.97    0.000186           2        68           rt_sigaction
  8.67    0.000101           0       169           read
  7.81    0.000091           0       124        26 openat
  7.38    0.000086           0       152           fstat
  6.27    0.000073           0       101           close
  5.58    0.000065           0       117         3 lseek
  4.03    0.000047           0        77        71 ioctl
  1.37    0.000016           0       122           mmap
  1.20    0.000014           0        15           brk
  0.43    0.000005           5         1           sysinfo
  0.34    0.000004           0        14           munmap
  0.34    0.000004           1         3           dup
  0.34    0.000004           1         3           sigaltstack
  0.17    0.000002           2         1           getgid
  0.17    0.000002           2         1           geteuid
  0.17    0.000002           2         1           getegid
  0.09    0.000001           1         1           getuid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0        30           mprotect
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           mremap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         4         2 readlink
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         7           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.001165                  1381       171 total
